HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
15.1986,3.4759,1.1716,3.0403000000000002,4.1481,3.8849,1.9487,1.3849,1.7801,11.1884,8.9232,,5,1.7482,1.2787,0.712,1.9534,4.6372,3.3865,,2.0687,2.7681,4.0162,2.4121,2.9129,2.3209,5.1958,1.4849,3.6267,13.1796,4.752,5.4015,2.2487,,4.4295,2.1252,6.9611,3.848,2.2185,5.549,2.0458,,4.0829,2.4371,6.6866,1.6149,2.421,1.9929999999999999,2017-06-30 00:00:00
15.1986,2.8223000000000003,0.9534,2.5669,3.602,3.8345000000000002,1.8415,1.401,1.7181,11.1394,5.5303,,4.7838,2.112,1.303,0.8114,1.8820999999999999,6.431,3.1250999999999998,,2.0511,2.7225,3.3614,2.5943,3.3890000000000002,2.2786,5.2673,1.4531,2.2398,13.0973,4.4798,5.1476,2.0748,,4.6409,2.1668,7.0296,3.848,2.1691,5.9177,2.0509,6.6644,4.1664,2.16,6.1822,1.7024,2.3986,1.9752999999999998,2017-09-30 00:00:00
15.1986,1.6002999999999998,0.9794,2.4443,2.8487999999999998,3.6256,1.819,1.2393,1.7189999999999999,11.5709,4.2082,,3.8099,1.9722,1.5103,0.6877,2.0908,6.3055,3.0874,,2.0511,2.5753,6.0724,2.4757,3.6397,2.1397,5.3108,1.4175,1.502,13.0205,5.0432,3.559,1.7648000000000001,,4.7604,1.854,7.5082,32.3791,2.5312,6.7288,2.0132,10.1941,4.2768,1.8831,7.8614,1.6594,2.3657,2.0103,2017-12-31 00:00:00
15.1986,1.5915,0.9761,2.3727,2.4992,3.6761,2.1855,1.1241,1.6689,12.0949,2.7454,,3.56,1.9797,1.8544,0.7793,2.1356,6.5164,3.2237,,35.6129,2.5968,5.6618,2.367,3.6341,2.1948,5.3155,1.4066,2.0076,13.6491,3.3861,2.5281000000000002,1.6358000000000001,,4.8177,2.4676,6.9794,8.8045,2.4932,6.5635,2.1184,7.8819,4.269,1.7109999999999999,8.0649,1.6936,2.4398,2.0244,2018-03-31 00:00:00
15.1986,1.725,0.8917,2.3697,2.3035,3.3731,2.1905,1.0831,1.6068,12.4011,1.0968,,3.0238,1.9318,1.6702,0.8027,2.2622,6.6632,3.0349,,35.6452,2.5764,4.8315,2.3977,4.2985,1.9889000000000001,5.38,1.4038,2.1079,12.9635,3.2434,2.2198,1.4574,,4.8596,2.4569,6.9125,2.0063,2.387,6.5588999999999995,2.024,5.5701,4.346,1.5977999999999999,7.7622,2.1712,2.3599,1.8117999999999999,2018-06-30 00:00:00
669.4,2.1139,0.8135,5.923,2.9804,3.5056000000000003,2.3125,1.0592,1.5265,10.5851,0.9748,,2.6579,2.0283,1.7106,0.7592,3.4164,5.9681999999999995,2.9214,,20.0727,2.4476,4.6742,2.495,3.8350999999999997,2.2337,5.3113,1.4068,1.9487,12.5938,3.549,2.0129,1.1848,,5.0323,2.5716,6.7679,1.7793999999999999,2.4271,7.7057,1.841,4.2205,4.6523,1.1787,7.5093,2.0902,2.399,1.9327999999999999,2018-09-30 00:00:00
2.757,2.017,0.8894,6.0093,3.5409,3.7016999999999998,2.3963,1.1298,1.4576,11.2441,0.9055,,2.9939,1.9677,1.6817,0.7289,2.8407999999999998,6.1762,2.8510999999999997,,1.2305,2.4418,2.429,2.463,3.2371,2.2013,5.4744,2.7404,1.1583,10.8544,2.8112,2.2681,1.0175,,5.1545,2.3231,6.8422,3.1347,2.3724,6.9283,1.7953000000000001,3.3045,5.0986,1.0852,8.9908,2.0911,2.3502,2.1769,2018-12-31 00:00:00
2.4943,2.2089,0.9053,5.6917,,3.7937,2.1638,1.1643,1.9962,11.0484,0.937,,3.4341,2.1042,1.8841999999999999,0.7361,2.5977,6.1402,3.0601,,1.256,2.469,2.5322,2.6534,3.1877,2.258,5.6489,3.1306,2.4022,11.7282,2.7312,2.5147,1.0404,,5.0916,2.4106,7.0033,4.845,2.5552,6.7129,2.4061,2.6002,5.0896,1.151,9.0948,2.45,2.4,2.0992,2019-03-31 00:00:00
2.2353,3.4277,0.9212,5.1705,,3.8293,2.1856,1.1781,2.4423,11.4464,1.0408,,3.9705,1.9386999999999999,1.9809999999999999,0.6661,2.6447000000000003,6.0603,3.2012,,1.2691,2.422,2.5601000000000003,2.557,3.0277,2.248,5.6399,3.0828,2.3127,10.7693,2.6781,1.9699,0.9432,,5.3038,2.1693,7.0743,5.6871,3.8948,7.6472,2.4633,2.3537,5.1209,1.1549,8.4404,2.3146,2.9688,1.9677,2019-06-30 00:00:00
2.2434,2.6647,,4.6608,,3.8132,2.0076,1.1112,2.4423,12.2082,0.9781,,5.3333,1.9287999999999998,2.4013999999999998,0.793,,5.7328,3.39,,1.6301,2.3237,2.5601000000000003,2.5023,2.9962,2.3153,5.6169,2.8285,3.3927,10.4473,2.618,,1.0439,,5.4223,2.2996,7.7562,7.615,3.7154,6.6152999999999995,2.3393,2.4434,5.1951,6.6782,8.0164,2.3529,3.0181,2.1159,2019-09-30 00:00:00
