date;jour;mois
05/04/2017;-0,352;
04/04/2017;-0,351;
03/04/2017;-0,353;
31/03/2017;-0,355;-0,353
30/03/2017;-0,356;
29/03/2017;-0,357;
28/03/2017;-0,357;
27/03/2017;-0,357;
24/03/2017;-0,356;
23/03/2017;-0,357;
22/03/2017;-0,357;
21/03/2017;-0,347;
20/03/2017;-0,35;
17/03/2017;-0,353;
16/03/2017;-0,354;
15/03/2017;-0,354;
14/03/2017;-0,354;
13/03/2017;-0,353;
10/03/2017;-0,352;
09/03/2017;-0,353;
08/03/2017;-0,353;
07/03/2017;-0,353;
06/03/2017;-0,352;
03/03/2017;-0,349;
02/03/2017;-0,351;
01/03/2017;-0,35;
28/02/2017;-0,345;-0,353
27/02/2017;-0,357;
24/02/2017;-0,359;
23/02/2017;-0,356;
22/02/2017;-0,36;
21/02/2017;-0,356;
20/02/2017;-0,354;
17/02/2017;-0,355;
16/02/2017;-0,354;
15/02/2017;-0,353;
14/02/2017;-0,353;
13/02/2017;-0,354;
10/02/2017;-0,352;
09/02/2017;-0,353;
08/02/2017;-0,35;
07/02/2017;-0,349;
06/02/2017;-0,351;
03/02/2017;-0,348;
02/02/2017;-0,351;
01/02/2017;-0,347;
31/01/2017;-0,345;-0,352
30/01/2017;-0,35;
27/01/2017;-0,351;
26/01/2017;-0,352;
25/01/2017;-0,354;
24/01/2017;-0,353;
23/01/2017;-0,353;
20/01/2017;-0,351;
19/01/2017;-0,351;
18/01/2017;-0,352;
17/01/2017;-0,352;
16/01/2017;-0,353;
13/01/2017;-0,352;
12/01/2017;-0,353;
11/01/2017;-0,351;
10/01/2017;-0,351;
09/01/2017;-0,351;
06/01/2017;-0,356;
05/01/2017;-0,354;
04/01/2017;-0,345;
03/01/2017;-0,348;
02/01/2017;-0,356;
30/12/2016;-0,329;-0,35
29/12/2016;-0,355;
28/12/2016;-0,354;
27/12/2016;-0,355;
23/12/2016;-0,356;
22/12/2016;-0,354;
21/12/2016;-0,353;
20/12/2016;-0,354;
19/12/2016;-0,354;
16/12/2016;-0,354;
15/12/2016;-0,356;
14/12/2016;-0,351;
13/12/2016;-0,352;
12/12/2016;-0,35;
09/12/2016;-0,348;
08/12/2016;-0,346;
07/12/2016;-0,349;
06/12/2016;-0,351;
05/12/2016;-0,347;
02/12/2016;-0,347;
01/12/2016;-0,344;
30/11/2016;-0,343;-0,349
29/11/2016;-0,351;
28/11/2016;-0,353;
25/11/2016;-0,35;
24/11/2016;-0,352;
23/11/2016;-0,348;
22/11/2016;-0,351;
21/11/2016;-0,349;
18/11/2016;-0,35;
17/11/2016;-0,349;
16/11/2016;-0,356;
15/11/2016;-0,349;
14/11/2016;-0,347;
11/11/2016;-0,35;
10/11/2016;-0,353;
09/11/2016;-0,356;
08/11/2016;-0,344;
07/11/2016;-0,344;
04/11/2016;-0,343;
03/11/2016;-0,343;
02/11/2016;-0,343;
01/11/2016;-0,348;
31/10/2016;-0,332;-0,347
28/10/2016;-0,351;
27/10/2016;-0,354;
26/10/2016;-0,351;
25/10/2016;-0,352;
24/10/2016;-0,35;
21/10/2016;-0,348;
20/10/2016;-0,349;
19/10/2016;-0,351;
18/10/2016;-0,349;
17/10/2016;-0,352;
14/10/2016;-0,35;
13/10/2016;-0,348;
12/10/2016;-0,347;
11/10/2016;-0,348;
10/10/2016;-0,345;
07/10/2016;-0,349;
06/10/2016;-0,346;
05/10/2016;-0,342;
04/10/2016;-0,344;
03/10/2016;-0,321;
30/09/2016;-0,329;-0,343
29/09/2016;-0,343;
28/09/2016;-0,346;
27/09/2016;-0,343;
26/09/2016;-0,345;
23/09/2016;-0,345;
22/09/2016;-0,342;
21/09/2016;-0,347;
20/09/2016;-0,346;
19/09/2016;-0,347;
16/09/2016;-0,346;
15/09/2016;-0,345;
14/09/2016;-0,342;
13/09/2016;-0,346;
12/09/2016;-0,344;
09/09/2016;-0,342;
08/09/2016;-0,337;
07/09/2016;-0,354;
06/09/2016;-0,341;
05/09/2016;-0,339;
02/09/2016;-0,339;
01/09/2016;-0,338;
31/08/2016;-0,329;-0,339
30/08/2016;-0,341;
29/08/2016;-0,345;
26/08/2016;-0,343;
25/08/2016;-0,341;
24/08/2016;-0,339;
23/08/2016;-0,34;
22/08/2016;-0,341;
19/08/2016;-0,342;
18/08/2016;-0,339;
17/08/2016;-0,338;
16/08/2016;-0,336;
15/08/2016;-0,346;
12/08/2016;-0,347;
11/08/2016;-0,344;
10/08/2016;-0,333;
09/08/2016;-0,338;
08/08/2016;-0,342;
05/08/2016;-0,339;
04/08/2016;-0,337;
03/08/2016;-0,332;
02/08/2016;-0,331;
01/08/2016;-0,33;
29/07/2016;-0,321;-0,329
28/07/2016;-0,335;
27/07/2016;-0,331;
26/07/2016;-0,334;
25/07/2016;-0,334;
22/07/2016;-0,335;
21/07/2016;-0,335;
20/07/2016;-0,333;
19/07/2016;-0,336;
18/07/2016;-0,334;
15/07/2016;-0,333;
14/07/2016;-0,332;
13/07/2016;-0,326;
12/07/2016;-0,324;
11/07/2016;-0,326;
08/07/2016;-0,321;
07/07/2016;-0,329;
06/07/2016;-0,326;
05/07/2016;-0,323;
04/07/2016;-0,315;
01/07/2016;-0,321;
30/06/2016;-0,293;-0,333
29/06/2016;-0,337;
28/06/2016;-0,337;
27/06/2016;-0,336;
24/06/2016;-0,323;
23/06/2016;-0,345;
22/06/2016;-0,34;
21/06/2016;-0,335;
20/06/2016;-0,341;
17/06/2016;-0,341;
16/06/2016;-0,335;
15/06/2016;-0,334;
14/06/2016;-0,33;
13/06/2016;-0,327;
10/06/2016;-0,329;
09/06/2016;-0,331;
